column_name,question_short_es,question_short_en,question_es,question_en,category_en,category_short_en,category_es,category_short_es
a4,El problema mÌÁs importante,Most Important Problem,En su opiniÌ_n åÀcuÌÁl es el problema mÌÁs grave que estÌÁ enfrentando el paÌ_s? (No leer alternativas; Aceptar solo una respuesta),"In your opinion, what is the most serious problem faced by the country? (Don't read alternatives; Accept on one response)","Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
aoj11,PercepciÌ_n de inseguridad,Perception of Neighborhood Insecurity,"Hablando del lugar o el barrio donde usted vive y pensando en la posibilidad de ser vÌ_ctima de un asalto o robo, åÀusted se siente muy seguro(a), algo seguro(a), algo inseguro(a) o muy inseguro(a)?","Speaking of the neighborhood where you live and thinking of the possibility of being assaulted or robbed, do you feel very safe, somewhat safe, somewhat unsafe or very unsafe?","Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democrÌÁticas,Apoyo democrÌÁtico
aoj12,Confianza en que el sistema judicial castigue a culpables,Confidence that Judiciary will Punish the Guilty,"Si usted fuera vÌ_ctima de un robo o asalto, åÀcuÌÁnto confiarÌ_a que el sistema judicial castigue al culpable? ConfiarÌ_a...",If you were a victim of a robbery or assault how much faith do you have that the judicial system would punish the guilty?,"Crime, Insecurity, and Policy Preferences",Democratic Support,Apoyo a la democracia e instituciones democrÌÁticas,Apoyo democrÌÁtico
b1,Cortes garantizan un juicio justo,Courts Guarantee Fair Trial,åÀHasta quÌ© punto cree usted que los tribunales de justicia de [paÌ_s] garantizan un juicio justo?,To what extent do you think the courts in (country) guarantee a fair trial?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b12,Confianza en las Fuerzas Armadas,Trust in Armed Forces,åÀHasta quÌ© punto tiene confianza usted en las Fuerzas Armadas?,To what extent do you trust the Armed Forces?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b13,Confianza en el Congreso Nacional,Trust in the National Legislature,åÀHasta quÌ© punto tiene confianza usted en el Congreso Nacional?,To what extent do you trust the National Congress?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b18,Confianza en la PolicÌ_a Nacional,Trust in National Police,åÀHasta quÌ© punto tiene confianza usted en la PolicÌ_a Nacional?,To what extent do you trust the National Police?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b2,Respeto a las instituciones,Respect for Political Institutions,åÀHasta quÌ© punto tiene usted respeto por las instituciones polÌ_ticas de [paÌ_s]?,To what extent do you respect the political institutions of (country)?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b21,Confianza en los partidos polÌ_ticos,Trust in Political Parties,åÀHasta quÌ© punto tiene confianza usted en los partidos polÌ_ticos?,To what extent do you trust the political parties?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b21a,Confianza en el ejecutivo,Trust in Executive,åÀHasta quÌ© punto tiene confianza usted en [el presidente/el primer ministro]?,To what extent do you trust the [President/Prime Minister]?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b3,Los derechos bÌÁsicos estÌÁn protegidos,Basic Rights are Protected,åÀHasta quÌ© punto cree usted que los derechos bÌÁsicos del ciudadano estÌÁn bien protegidos por el sistema polÌ_tico [paÌ_s]?,To what extent do you think that citizens' basic rights are well protected by the political system of (country)?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b31,Confianza en la Corte Suprema de Justicia,Trust in the Supreme Court of Justice,åÀHasta quÌ© punto tiene usted confianza en la Corte Suprema de Justicia?,To what extent do you trust the Supreme Court of Justice?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b32,Confianza en la municipalidad,Trust in Local Government,åÀHasta quÌ© punto tiene usted confianza en su municipalidad?,To what extent do you trust the local or municipal government?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b37,Confianza en los medios de comunicaciÌ_n,Trust in the Media,åÀHasta quÌ© punto tiene usted confianza en los medios de comunicaciÌ_n?,To what extent do you trust the mass media?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b4,Orgullo por el sistema polÌ_tico,Pride in Political System,åÀHasta quÌ© punto se siente usted orgulloso de vivir bajo el sistema polÌ_tico [paÌ_s]?,To what extent do you feel proud of living under the political system of [country]?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b47a,Confianza en las elecciones,Trust in Elections,åÀHasta quÌ© punto tiene usted confianza en las elecciones en este paÌ_s?,To what extent do you trust elections in this country?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
b6,Se deberÌ_a apoyar al sistema polÌ_tico,People Should Support the Political System,åÀHasta quÌ© punto piensa usted que se debe apoyar al sistema polÌ_tico [paÌ_s]?,To what extent do you think that one should support the political system of (country)?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
cct1b,Beneficiario de transferencias de dinero condicionadas,Beneficiary of Conditional Cash Transfer Program,"Ahora, hablando especÌ_ficamente sobre [programa] åÀusted o alguien en su casa es beneficiario de ese programa?","Now, talking specifically about [Conditional Cash Transfers], are you or someone in your house a beneficiary of this program?",Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
colorr,Color de piel,Skin Color,"SIN PREGUNTAR, por favor use la Paleta de Colores, e indique el nÌ¼mero que mÌÁs se acerca al color de piel de la cara del entrevistado","Without asking, please use the Color Chart and indicate the number that is closest to the color of the skin of the face of the respondent",NA,NA,NA,NA
conocim,PercepciÌ_n de nivel de conocimiento polÌ_tico,Perception of the Level of Political Knowledge,"Usando la escala que se presenta abajo, por favor califique su percepciÌ_n sobre el nivel de conocimiento polÌ_tico del entrevistado [Evaluada por el entrevistador]","Using the scale below, rate your perception of the level of political knowledge of the respondent [Evaluated by Interviewer]",NA,NA,NA,NA
cp13,Asistencia a reuniones de partidos polÌ_ticos,Attendance at Meetings of Political Parties,"Por favor, dÌ_game si usted asiste a las reuniones de estas organizaciones por lo menos una vez a la semana, una o dos veces al mes, una o dos veces al aÌ±o, o nunca. åÀReuniones de un partido o movimiento polÌ_tico? Asiste...","Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of a political party or political organization? Do you attend them...",Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
cp6,Asistencia a reuniones de organizaciÌ_n religiosa,Attendance at Meetings of Religious Organization,"Por favor, dÌ_game si usted asiste a las reuniones de estas organizaciones por lo menos una vez a la semana, una o dos veces al mes, una o dos veces al aÌ±o, o nunca. åÀReuniones de alguna organizaciÌ_n religiosa? Asiste...","Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of any religious organization? Do you attend them...",Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
cp7,Asistencia a reuniones de  asociaciÌ_n de padres,Attendance at Meetings of Parent Association,"Por favor, dÌ_game si usted asiste a las reuniones de estas organizaciones por lo menos una vez a la semana, una o dos veces al mes, una o dos veces al aÌ±o, o nunca. åÀReuniones de una asociaciÌ_n de padres de familia de la escuela o colegio? Asiste...","Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of a parents' association at school? Do you attend them...",Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
cp8,Asistencia a reuniones para mejoras comunitarias,Attendance at Meetings for Community Improvements,"Por favor, dÌ_game si usted asiste a las reuniones de estas organizaciones por lo menos una vez a la semana, una o dos veces al mes, una o dos veces al aÌ±o, o nunca. åÀReuniones de un comitÌ© o junta de mejoras para la comunidad? Asiste...","Please tell me if you attend meetings of these organizations at least once a week, once or twice a month, once or twice a year, or never. Meetings of a community improvement committee or association? Do you attend them...",Civic and Political Engagement,Civic Engagement,ParticipaciÌ_n cÌ_vica y polÌ_tica,ParticipaciÌ_n cÌ_vica
d1,Aprueba derecho de votar de los crÌ_ticos del gobierno,Approval of Government Critics' Right to Vote,"Hay personas que siempre hablan mal de la forma de gobierno de [paÌ_s], no sÌ_lo del gobierno de turno, sino del sistema de gobierno, åÀcon quÌ© firmeza aprueba o desaprueba usted el derecho de votar de esas personas? Por favor lÌ©ame el nÌ¼mero de la escala","There are people who only say bad things about the (country) form of government, not just the incumbent government but the system of government. How strongly do you approve or disapprove of such people's right to vote? Please read me the number from the scale",Political Tolerance,Tolerance,Tolerancia polÌ_tica,Tolerancia
d2,Aprueba el derecho a protestar,Approval of Government Critics' Right to Protest,Con quÌ© firmeza aprueba o desaprueba usted que estas personas puedan llevar a cabo manifestaciones pacÌ_ficas con el propÌ_sito de expresar sus puntos de vista? Por favor lÌ©ame el nÌ¼mero.,How strongly do you approve or disapprove that such people be allowed to conduct peaceful demonstrations in order to express their views? Please read me the number.,Political Tolerance,Tolerance,Tolerancia polÌ_tica,Tolerancia
d3,Aprueba el derecho a postularse,Approval of Government Critics' Right to Run for Office,Siempre pensando en los que hablan mal de la forma de gobierno de [paÌ_s]. åÀCon quÌ© firmeza aprueba o desaprueba usted que estas personas puedan postularse para cargos pÌ¼blicos?,"Still thinking of those who only say bad things about the (country) form of government, how strongly do you approve or disapprove of such people being permitted to run for public office?",Political Tolerance,Tolerance,Tolerancia polÌ_tica,Tolerancia
d4,Aprueba el derecho a hacer un discurso,Approval of Government Critics' Right to Make Speeches,åÀCon quÌ© firmeza aprueba o desaprueba usted que estas personas salgan en la televisiÌ_n para dar un discurso?,How strongly do you approve or disapprove of such people appearing on television to make speeches?,Political Tolerance,Tolerance,Tolerancia polÌ_tica,Tolerancia
d5,Aprueba el derecho de homosexuales a postularse,Approval of Homosexuals' Right to Run for Office,"Y ahora, cambiando el tema, y pensando en los homosexuales. åÀCon quÌ© firmeza aprueba o desaprueba que estas personas puedan postularse para cargos pÌ¼blicos?","And now, changing the topic and thinking of homosexuals, how strongly do you approve or disapprove of such people being permitted to run for public office?",Political Tolerance,Tolerance,Tolerancia polÌ_tica,Tolerancia
d6,Aprueba el derecho a casarse de parejas del mismo sexo,Approval of Same-Sex Couples' Right to Marry,åÀCon quÌ© firmeza aprueba o desaprueba que las parejas del mismo sexo puedan tener el derecho a casarse?,How strongly do you approve or disapprove of same-sex couples having the right to marry?,Political Tolerance,Tolerance,Tolerancia polÌ_tica,Tolerancia
drk1,Probabilidad de muerte o daÌ±o en desastres naturales,Likelihood of Death or Harm from Natural Disaster,"åÀQuÌ© tan probable serÌ_a que usted o alguien en su familia inmediata aquÌ_ en [paÌ_s] pueda morir o salir seriamente lastimado en un desastre natural como inundaciones, terremotos o huracanes/huaycos/deslaves/tornados en los prÌ_ximos 25 aÌ±os? åÀCree usted que es...?","How likely do you think it is that you or someone in your immediate family here in [country] could be killed or seriously injured in a natural disaster, such as floods, earthquakes, or hurricanes, in the next 25 years?",Climate Change/Disaster Risk Reduction,Environment,Cambio climÌÁtico/ReducciÌ_n de riesgos por desastres,Ambiente
dst1b,Gastar mÌÁs para hacer cumplir los cÌ_digos de construcciÌ_n,Spend More to Enforce Building Codes,"El gobierno debe gastar mÌÁs dinero para hacer cumplir los reglamentos de construcciÌ_n para hacer las viviendas mÌÁs seguras ante desastres naturales, incluso si esto significa gastar menos en otros programas. åÀQuÌ© tan de acuerdo o en desacuerdo estÌÁ usted con esta frase?","The government should spend more money to enforce building codes to make homes safer from natural disasters, even if it means spending less on other programs... How much do you agree or disagree?",Climate Change/Disaster Risk Reduction,Environment,Cambio climÌÁtico/ReducciÌ_n de riesgos por desastres,Ambiente
e5,Aprueba la participaciÌ_n en protestas permitidas por ley,Approval of Those Participating in Legal Demonstration,Que las personas participen en manifestaciones permitidas por la ley. åÀHasta quÌ© punto aprueba o desaprueba?,Of people participating in legal demonstrations. How much do you approve or disapprove?,Political Tolerance,Tolerance,Tolerancia polÌ_tica,Tolerancia
ed,AÌ±os de educaciÌ_n,Years of Schooling,AÌ±os de educaciÌ_n,Years of Schooling,Socio-Demographic Characteristics,Socio-Dem.,CaracterÌ_sticas sociodemogrÌÁficas,Sociodem.
eff1,Gobernantes estÌÁn interesados en lo que piensa la gente,Leaders Are Interested in What People Think,A los que gobiernan el paÌ_s les interesa lo que piensa la gente como usted. åÀHasta quÌ© punto estÌÁ de acuerdo o en desacuerdo con esta frase?,Those who govern this country are interested in what people like you think. How much do you agree or disagree with this statement?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
eff2,Entiende los asuntos mÌÁs importantes del paÌ_s,Understands Important Political Issues,Usted siente que entiende bien los asuntos polÌ_ticos mÌÁs importantes del paÌ_s. åÀHasta quÌ© punto estÌÁ de acuerdo o en desacuerdo con esta frase?,You feel that you understand the most important political issues of this country. How much do you agree or disagree with this statement?,"Evaluation of Institutions, Political System and Other Persons",Evaluations,"EvaluaciÌ_n de instituciones, sistema polÌ_tica y otras personas",Evaluaciones
env1calt,ImplementaciÌ_n de ProtecciÌ_n Ambiental,Implementation of Environmental Protection,"Imagine que el gobierno nacional tiene dos opciones para implementar la protecciÌ_n del medio ambiente: Por un lado, puede darle recursos a su municipalidad, para que implemente esa protecciÌ_n. Por otra parte, puede darle fondos a otros grupos, como organizaciones no gubernamentales u organizaciones comunitarias que pueden decidir cÌ_mo implementar y administrar la protecciÌ_n. El gobierno solo puede llevar a cabo una de estas dos opciones. åÀCuÌÁl prefiere usted?","Imagine that the national government has two options to implement environmental protections: On the one hand, you can give resources to your municipality to implement that protection, on the other hand, you can give funds to other groups, like non-governmental organization or community organizations that can decide how to implement and administer protection. The government can only use on of these options. Which would you prefer?",NA,NA,NA,NA
env2b,Seriedad del cambio climÌÁtico,Seriousness of Climate Change,"Si no se hace nada para reducir el cambio climÌÁtico en el futuro, åÀquÌ© tan serio piensa usted que serÌ_a el problema para [paÌ_s]?","If nothing is done to reduce climate change in the future, how serious of a problem do you think it will be for [country]?",Climate Change/Disaster Risk Reduction,Environment,Cambio climÌÁtico/ReducciÌ_n de riesgos por desastres,Ambiente
estratosec,Estrato Secundario,Secondary Strata,Estrato Secundario,Secondary Strata,NA,NA,NA,NA
exc11,Le solicitaron soborno para trÌÁmite en municipalidad,Asked to Pay Bribe to Process Document in Municipality,"Para tramitar algo en el municipio, como un permiso, por ejemplo, durante el Ì¼ltimo aÌ±o, åÀha tenido que pagar alguna suma ademÌÁs de lo exigido por la ley?","In the last twelve months, to process any kind of document in your municipal government, like a permit for example, did you have to pay any money above that required by law?",Corruption,Corruption,CorrupciÌ_n,CorrupciÌ_n
exc13,Le solicitaron soborno en el trabajo,Asked to Pay a Bribe at Work,"En su trabajo, åÀle han solicitado alguna coima/soborno en los Ì¼ltimos 12 meses?","In your work, have you been asked to pay a bribe in the last twelve months?",Corruption,Corruption,CorrupciÌ_n,CorrupciÌ_n
exc14,Le solicitaron soborno en los juzgados,Asked to Pay a Bribe to the Courts,åÀHa tenido que pagar una coima/soborno en los juzgados en este Ì¼ltimo aÌ±o?,Did you have to pay a bribe to the courts in the last twelve months?,Corruption,Corruption,CorrupciÌ_n,CorrupciÌ_n
exc15,Le solicitaron soborno para en centro de salud pÌ¼blico,Asked to Pay a Bribe to use Public Health Services,"En los Ì¼ltimos 12 meses, åÀha tenido que pagar alguna coima/soborno para ser atendido en un hospital o en un puesto de salud?","In order to be seen in a hospital or a clinic in the last twelve months, did you have to pay a bribe?",Corruption,Corruption,CorrupciÌ_n,CorrupciÌ_n
exc16,Le solicitaron soborno en la escuela o colegio,Asked to Pay a Bribe at School,"En los Ì¼ltimos 12 meses, åÀtuvo que pagar alguna coima/soborno en la escuela o colegio?",Have you had to pay a bribe at school in the last twelve months?,Corruption,Corruption,CorrupciÌ_n,CorrupciÌ_n
exc18,Justifica el pago de coimas o sobornos,Paying a Bribe is Justified,åÀCree que como estÌÁn las cosas a veces se justifica pagar una coima/soborno?,"Do you think given the way things are, sometimes paying a bribe is justified?",Corruption,Corruption,CorrupciÌ_n,CorrupciÌ_n
exc2,Oficial de policÌ_a le solicitÌ_ un soborno,Police Officer Asked for a Bribe,åÀAlgÌ¼n agente de policÌ_a le pidiÌ_ una coima/soborno en los Ì¼ltimos 12 meses?,Has a police officer asked you for a bribe in the last twelve months?,Corruption,Corruption,CorrupciÌ_n,CorrupciÌ_n
